Utility,Outage Start,Full Restoration,Outage Duration,Outage Days,Outage Hours,Circuit,Hftd,Total Customers Impacted,Residential Customers,Commercial/Industrial Customers,Medical Baseline Customers,Other Customers,Residential,Commercial,Medical,Other
SCE,2019-10-19 16:03:00,2019-10-19 19:50:00,"0 days,3 hrs,47 min",0.15763888889341615,3.7833333334419876,DYNAMO 16KV,,0.0,0.0,0.0,0.0,0.0,False,False,False,False
SCE,2019-10-20 03:06:00,2019-10-20 12:01:00,"0 days,8 hrs,55 min",0.37152777778101154,8.916666666744277,CLARINET 12KV,,71.0,29.0,31.0,0.0,0.0,True,True,False,False
SCE,2019-10-20 09:54:00,2019-10-21 00:06:00,"0 days,14 hrs,12 min",0.5916666666671517,14.200000000011642,CALSTATE 12KV,Tier 2/Tier 3,10.0,6.0,4.0,0.0,0.0,True,True,False,False
SCE,2019-10-20 10:21:00,2019-10-20 18:29:00,"0 days,8 hrs,8 min",0.3388888888875954,8.13333333330229,SHOVEL 12KV,Tier 3,165.0,157.0,7.0,0.0,0.0,True,True,False,False
SCE,2019-10-23 23:47:00,2019-10-24 14:47:00,"0 days,15 hrs,0 min",0.625,15.0,MCKEVETT 4KV,Tier 3,289.0,282.0,4.0,1.0,5.0,True,True,True,True
SCE,2019-10-23 23:47:00,2019-10-25 12:18:00,"1 days,12 hrs,31 min",1.5215277777751908,36.51666666660458,CASTRO 16KV,Tier 3,2383.0,2305.0,49.0,20.0,69.0,True,True,True,True
SCE,2019-10-24 02:41:00,2019-10-25 01:02:00,"0 days,22 hrs,21 min",0.9312500000014552,22.350000000034925,TANAGER 12KV,Tier 3,1542.0,1473.0,10.0,46.0,56.0,True,True,True,True
SCE,2019-10-24 02:41:00,2019-10-25 13:35:00,"1 days,10 hrs,54 min",1.4541666666627862,34.89999999990687,CONDOR 12KV,Tier 3,1464.0,1374.0,48.0,34.0,82.0,True,True,True,True
SCE,2019-10-24 02:41:00,2019-10-24 22:36:00,"0 days,19 hrs,55 min",0.8298611111094942,19.91666666662786,GNATCATCHER 12KV,Tier 3,1448.0,1345.0,46.0,47.0,93.0,True,True,True,True
SCE,2019-10-24 02:42:00,2019-10-24 22:36:00,"0 days,19 hrs,54 min",0.8291666666627862,19.899999999906868,METTLER 12KV,Tier 3,514.0,487.0,9.0,15.0,24.0,True,True,True,True
SCE,2019-10-24 02:43:00,2019-10-24 22:06:00,"0 days,19 hrs,23 min",0.8076388888875954,19.38333333330229,CUDDEBACK 12KV,Tier 2/Tier 3,325.0,315.0,6.0,3.0,9.0,True,True,True,True
SCE,2019-10-24 03:45:00,2019-10-25 13:07:00,"1 days,9 hrs,22 min",1.390277777776646,33.3666666666395,HUCKLEBERRY 12KV,Tier 3,172.0,158.0,8.0,4.0,12.0,True,True,True,True
SCE,2019-10-24 03:45:00,2019-10-25 14:51:00,"1 days,11 hrs,6 min",1.4625000000014552,35.100000000034925,TAHQUITZ 12KV,Tier 3,133.0,121.0,9.0,2.0,11.0,True,True,True,True
SCE,2019-10-24 03:49:00,2019-10-25 14:13:00,"1 days,10 hrs,24 min",1.4333333333343035,34.40000000002328,MORA 12KV,Tier 2/Tier 3,2460.0,2342.0,67.0,45.0,112.0,True,True,True,True
SCE,2019-10-24 04:04:00,2019-10-25 11:52:00,"1 days,7 hrs,48 min",1.3249999999970896,31.79999999993015,TAIWAN 12KV,,71.0,71.0,0.0,0.0,0.0,True,False,False,False
SCE,2019-10-24 04:04:00,2019-10-25 14:41:00,"1 days,10 hrs,37 min",1.4423611111124046,34.61666666669771,CASMALIA 12KV,Tier 2/Tier 3,2023.0,1847.0,127.0,42.0,169.0,True,True,True,True
SCE,2019-10-24 04:47:00,2019-10-25 12:49:00,"1 days,8 hrs,2 min",1.3347222222218988,32.03333333332557,AMETHYST  12KV,,1528.0,1444.0,24.0,51.0,75.0,True,True,True,True
SCE,2019-10-24 04:48:00,2019-10-25 14:28:00,"1 days,9 hrs,40 min",1.4027777777810115,33.66666666674428,ACOSTA 12KV,Tier 2/Tier 3,1243.0,1139.0,63.0,36.0,99.0,True,True,True,True
