StationNbr,Name,City,RegionalOffice,County,ConnectDate,DisconnectDate,IsActive,IsEtoStation,Elevation,GroundCover,HmsLatitude,HmsLongitude,ZipCodes,SitingDesc,Latitude,Longitude
65,Walnut Creek,Walnut Creek,North Central Region Office,Contra Costa,7/22/1987,3/8/2002,False,True,440,Grass,37º54'52N ,-122º4'56W ,"['94598', '94597', '94596', '94595']",, 37.914392, -122.082260
66,San Diego,San Diego,Southern Region Office,San Diego,4/27/1989,12/19/2001,False,True,370,Grass,32º43'59N ,-117º8'5W ,"['92199', '92198', '92197', '92196', '92195', '92194', '92193', '92192', '92191', '92187', '92186', '92184', '92182', '92179', '92178', '92177', '92176', '92175', '92174', '92173', '92172', '92171', '92170', '92169', '92168', '92167', '92166', '92165', '92164', '92163', '92162', '92161', '92160', '92159', '92158', '92155', '92154', '92153', '92152', '92150', '92149', '92147', '92145', '92144', '92143', '92142', '92140', '92139', '92138', '92137', '92136', '92135', '92134', '92133', '92132', '92131', '92130', '92129', '92128', '92127', '92126', '92125', '92124', '92123', '92122', '92121', '92120', '92119', '92118', '92117', '92116', '92115', '92114', '92113', '92112', '92111', '92110', '92109', '92108', '92107', '92106', '92105', '92104', '92103', '92102', '92101']",, 32.733056, -117.134720
67,Goleta,Santa Barbara,Southern Region Office,Santa Barbara,2/17/1988,4/7/1993,False,True,30,Grass,34º25'56N ,-119º50'20W ,"['93199', '93190', '93160', '93150', '93140', '93130', '93129', '93128', '93127', '93126', '93125', '93124', '93123', '93122', '93121', '93120', '93118', '93117', '93116', '93111', '93110', '93109', '93106', '93107', '93105', '93103', '93102', '93101']",, 34.432222, -119.838890
68,Seeley,Seeley,Southern Region Office,Imperial,5/29/1987,12/31/2050,True,True,40,Grass,32º45'34N ,-115º43'55W ,['92273'],, 32.759575, -115.732070
69,San Jose,San Jose,North Central Region Office,Santa Clara,6/8/1987,11/22/2002,False,True,125,Grass,37º19'34N ,-121º57'7W ,"['95196', '95194', '95193', '95192', '95191', '95190', '95173', '95172', '95171', '95170', '95164', '95161', '95160', '95159', '95158', '95157', '95156', '95155', '95154', '95153', '95152', '95150', '95148', '95142', '95141', '95140', '95139', '95138', '95137', '95136', '95135', '95134', '95133', '95132', '95131', '95130', '95129', '95128', '95127', '95126', '95125', '95124', '95123', '95122', '95121', '95120', '95119', '95118', '95117', '95116', '95115', '95114', '95113', '95112', '95111', '95110', '95109', '95108', '95107', '95106', '95103', '95102', '95101']",, 37.326189, -121.951820
70,Manteca,Manteca,North Central Region Office,San Joaquin,11/12/1987,12/31/2050,True,True,33,Grass,37º50'5N ,-121º13'23W ,"['95337', '95336', '95365', '95320', '95231']",, 37.834822, -121.223190
71,Modesto,Modesto,South Central Region Office,Stanislaus,6/25/1987,12/31/2050,True,True,35,Grass,37º38'43N ,-121º11'16W ,"['95397', '95358', '95357', '95356', '95355', '95354', '95353', '95352', '95351', '95350']",, 37.645222, -121.187760
72,Palo Verde,Palo Verde,Southern Region Office,Imperial,9/8/1987,12/20/2000,False,True,230,Alfalfa,33º23'15N ,-114º43'21W ,['92266'],, 33.3875, -114.7225
73,Hollywood Hills,Burbank,Southern Region Office,Los Angeles,3/4/1988,9/14/1993,False,True,560,Grass,34º8'50N ,-118º19'4W ,"['91526', '91523', '91522', '91521', '91510', '91509', '91508', '91507', '91506', '91505', '91504', '91503', '91502', '91501']",, 34.147222, -118.317780
74,Escondido,Escondido,Southern Region Office,San Diego,4/26/1988,12/24/1998,False,True,450,Grass,33º5'24N ,-116º58'52W ,"['92046', '92033', '92030', '92029', '92027', '92026', '92025']",, 33.09, -116.981110
75,Irvine,Irvine,Southern Region Office,Orange,10/7/1987,12/31/2050,True,True,410,Grass,33º41'18N ,-117º43'16W ,"['92710', '92707', '92667', '92650', '92630', '92623', '92620', '92619', '92618', '92616', '92614', '92612', '92606', '92604', '92603', '92602']",, 33.688450, -117.721180
76,Betteravia,Guadalupe,Southern Region Office,Santa Barbara,12/18/1987,7/1/1993,False,True,160,Grass,34º55'26N ,-120º30'42W ,"['93458', '93457', '93456', '93455', '93454']",, 34.923889, -120.511670
77,Oakville,Napa,North Central Region Office,Napa,3/1/1989,12/31/2050,True,True,190,Grass,38º25'43N ,-122º24'37W ,"['94573', '94574', '94562']",, 38.428475, -122.410210
78,Pomona,Pomona,Southern Region Office,Los Angeles,3/14/1989,12/31/2050,True,True,730,Grass,34º3'24N ,-117º48'47W ,"['91799', '91797', '91769', '91768', '91767', '91766', '91765']",, 34.056589, -117.813070
79,Angwin,St. Helena,North Central Region Office,Napa,5/11/1989,12/27/1996,False,True,1720,Grass,38º33'19N ,-122º25'19W ,"['95708', '94576', '94508']",, 38.555242, -122.421860
80,Fresno State,Fresno,South Central Region Office,Fresno,10/3/1988,12/31/2050,True,True,339,Grass,36º49'15N ,-119º44'32W ,"['93766', '93762', '93761', '93760', '93759', '93755', '93750', '93747', '93745', '93744', '93741', '93740', '93729', '93728', '93727', '93726', '93725', '93724', '93722', '93721', '93720', '93718', '93717', '93716', '93715', '93714', '93711', '93710', '93709', '93708', '93707', '93706', '93705', '93704', '93703', '93702', '93701', '93650']",, 36.820833, -119.742310
81,Shenandoah Valley,Plymouth,North Central Region Office,Amador,5/11/1990,5/17/2000,False,True,1550,Grass,38º31'22N ,-120º48'18W ,['95669'],, 38.522697, -120.805070
82,Claremont,Claremont,Southern Region Office,Los Angeles,4/13/1989,9/26/2007,False,True,1620,Grass,34º7'48N ,-117º41'46W ,"['91711', '91786', '91784', '91773', '91750']",, 34.13, -117.696110
83,Santa Rosa,Santa Rosa,North Central Region Office,Sonoma,1/1/1990,12/31/2050,True,True,80,Grass,38º24'13N ,-122º48'0W ,"['95409', '95408', '95407', '95406', '95405', '95404', '95403', '95402', '95401']",, 38.403550, -122.799930
84,Browns Valley,Marysville,North Central Region Office,Yuba,4/13/1989,12/31/2050,True,True,940,Grass,39º15'9N ,-121º18'56W ,['95918'],, 39.252561, -121.315670
85,Hopland FS,Hopland,North Central Region Office,Mendocino,9/23/1989,4/25/2016,False,False,1160,Bare,39º0'24N ,-123º4'48W ,['95449'],, 39.006747, -123.080120
86,Lindcove,Lindcove,South Central Region Office,Tulare,5/31/1989,12/3/2020,False,False,480,Grass,36º21'38N ,-119º3'34W ,"['93286', '93221']",, 36.3605, -119.059350
87,Meloland,El Centro,Southern Region Office,Imperial,12/12/1989,12/31/2050,True,True,-50,Grass,32º48'22N ,-115º26'47W ,"['92251', '92250', '92244', '92243']",, 32.806183, -115.446260
88,Cuyama,Cuyama,Southern Region Office,Santa Barbara,5/20/1989,12/31/2050,True,True,2290,Grass,34º56'33N ,-119º40'26W ,['93254'],, 34.942525, -119.6738
89,Salinas South,Salinas,South Central Region Office,Monterey,9/5/1992,9/25/2012,False,True,120,Grass,36º36'34N ,-121º31'45W ,"['93962', '93915', '93912', '93908', '93907', '93906', '93905', '93902', '93901']",, 36.609444, -121.5293
90,Alturas,Alturas,Northern Region Office,Modoc,4/23/1989,12/31/2050,True,True,4405,Grass,41º26'18N ,-120º28'49W ,['96101'],, 41.438214, -120.480310
91,Tulelake FS,Tulelake,Northern Region Office,Siskiyou,4/12/1989,12/31/2030,True,True,4035,Grass,41º57'32N ,-121º28'21W ,['96134'],, 41.958869, -121.472370
92,Kesterson,Gustine,South Central Region Office,Merced,10/13/1989,12/31/2050,True,False,75,Grass,37º13'55N ,-120º52'51W ,['93620'],, 37.231861, -120.880820
93,Lamont,Lamont,South Central Region Office,Kern,2/4/1990,10/3/1994,False,True,382,Grass,35º17'12N ,-118º55'43W ,['93241'],, 35.286667, -118.928610
94,Goleta Foothills,Goleta,Southern Region Office,Santa Barbara,7/7/1990,7/18/2016,False,True,640,Grass,34º28'17N ,-119º52'9W ,"['93199', '93190', '93160', '93150', '93140', '93130', '93129', '93128', '93127', '93126', '93125', '93124', '93123', '93122', '93121', '93120', '93118', '93117', '93116', '93111', '93110', '93109', '93106', '93107', '93105', '93103', '93102', '93101']",, 34.471333, -119.869290
95,Watsonville,Watsonville,South Central Region Office,Santa Cruz,9/13/1989,7/24/1995,False,True,100,Grass,36º53'10N ,-121º48'32W ,"['95077', '95076', '95075', '95019', '95018']",, 36.886111, -121.808890
96,Woodside,Woodside,North Central Region Office,San Mateo,10/31/1990,1/24/1994,False,True,560,Grass,37º27'13N ,-122º16'54W ,['94062'],, 37.453661, -122.2817
97,Port Hueneme,Port Hueneme,Southern Region Office,Ventura,2/16/1991,7/31/2000,False,True,18,Grass,34º10'24N ,-119º12'0W ,"['93044', '93043', '93042', '93041']",, 34.173333, -119.20
